,type,primary_title,original_title,premiered,runtime_minutes,genres,rating,votes
133534,movie,Unearthly Harvest,Unearthly Harvest,2004.0,70.0,Horror,4.9,13
133545,movie,A Tailor's Secret,Krojaceva tajna,2006.0,75.0,"Drama,Horror,Mystery",2.8,232
133548,movie,Diyablo - sagrado,Diyablo - sagrado,1980.0,,"Action,Horror",6.7,12
133549,movie,Demon of the Himalayas,Der Dämon des Himalaya,1935.0,92.0,"Adventure,Horror",3.6,22
133556,movie,Huwag mong buhayin ang bangkay,Huwag mong buhayin ang bangkay,1987.0,119.0,"Drama,Horror,Thriller",5.5,24
133583,movie,Borderland,Borderland,2007.0,105.0,"Crime,Horror,Thriller",5.6,10133
133591,movie,Eyes of the Chameleon,Eyes of the Chameleon,2005.0,78.0,Horror,2.8,102
133603,movie,Jolly Roger: Massacre at Cutter's Cove,Jolly Roger: Massacre at Cutter's Cove,2005.0,80.0,Horror,3.2,1058
133616,movie,Pterodactyl,Pterodactyl,2005.0,91.0,"Action,Adventure,Horror",3.1,2463
133619,movie,The Redsin Tower,The Redsin Tower,2006.0,87.0,Horror,4.7,565
133628,movie,Vacancy,Vacancy,2007.0,85.0,"Horror,Thriller",6.2,100636
133633,movie,A Werewolf in the Amazon,Um Lobisomem na Amazônia,2005.0,76.0,"Comedy,Horror",4.2,184
133634,movie,Evil Grave: Curse of the Maya,Curse of the Maya,2004.0,90.0,Horror,2.5,400
133641,movie,The Hour of Fear,A Hora do Medo,1986.0,78.0,Horror,5.8,52
133659,movie,The White Dog Sacrifice,The White Dog Sacrifice,2005.0,86.0,"Horror,Thriller",4.6,83
133679,movie,The Enchanting Ghost,Gui wu li ren,1970.0,81.0,"Fantasy,Horror",5.8,103
133719,movie,Next Door,Naboer,2005.0,75.0,"Horror,Mystery,Thriller",6.4,9973
133730,movie,The Clique,The Clique,2006.0,87.0,Horror,3.8,182
133745,movie,Night Fangs,Night Fangs,2005.0,98.0,"Horror,Thriller",3.5,257
133749,movie,Unrest,Unrest,2006.0,88.0,"Horror,Thriller",5.0,8077
133752,movie,Scar,Scar,2005.0,92.0,Horror,3.2,331
133775,movie,Black Christmas,Black Christmas,2006.0,95.0,Horror,4.6,27375
133789,movie,Penny Dreadful,Penny Dreadful,2006.0,92.0,"Horror,Mystery,Thriller",4.9,6432
133814,movie,Frostbitten,Frostbiten,2006.0,98.0,"Comedy,Horror",5.5,4030
133839,movie,Tetsu no tsume,Tetsu no tsume,1951.0,82.0,Horror,6.8,16
133867,movie,Bloodshed,Bloodshed,2005.0,82.0,"Horror,Thriller",3.2,230
133881,movie,Broken,Broken,2006.0,110.0,"Horror,Thriller",4.7,2939
133882,movie,The Hills Have Eyes,The Hills Have Eyes,2006.0,107.0,"Horror,Thriller",6.4,170559
133888,movie,The Last Winter,The Last Winter,2006.0,101.0,"Horror,Mystery,Thriller",5.5,9334
133905,movie,Pulse,Pulse,2006.0,90.0,"Horror,Sci-Fi,Thriller",4.7,29418
133908,movie,Requiem,Requiem,2006.0,93.0,"Drama,Horror",6.9,5845
133915,movie,Turistas,Turistas,2006.0,93.0,"Horror,Mystery,Thriller",5.4,38868
133924,movie,Bhayaanak Panjaa,Bhayaanak Panjaa,2003.0,95.0,Horror,5.2,30
133926,movie,H6: Diario de un asesino,H6: Diario de un asesino,2005.0,92.0,"Crime,Horror,Thriller",4.6,1050
133930,movie,Insaan Bana Shaitan,Insaan Bana Shaitan,1992.0,,Horror,3.6,15
133931,movie,The Eye 3,Gin gwai 10,2005.0,86.0,"Comedy,Horror",4.6,2000
133932,movie,Khoon Ki Pyasi,Khoon Ki Pyasi,1996.0,117.0,Horror,3.4,28
133933,movie,Khooni Panja,Khooni Panja,1991.0,130.0,Horror,5.4,54
133946,movie,Vem är du?,Vem är du?,2005.0,91.0,"Horror,Thriller",4.2,103
133960,movie,The Breed,The Breed,2006.0,91.0,"Action,Comedy,Horror",5.1,13348
133968,movie,The Crazies,The Crazies,2010.0,101.0,"Adventure,Horror",6.5,120929
133983,movie,The Final Patient,The Final Patient,2005.0,100.0,"Horror,Thriller",4.3,359
134022,movie,Dead Silence,Dead Silence,2007.0,89.0,"Horror,Mystery,Thriller",6.1,94281
134038,movie,When a Stranger Calls,When a Stranger Calls,2006.0,87.0,"Horror,Thriller",5.1,46163
134047,movie,Blood of the Chupacabras,Revenge of the Chupacabras,2005.0,88.0,Horror,2.6,138
134056,movie,The Elk Hotel,The Elk Hotel,2006.0,,"Drama,Fantasy,Horror",5.4,17
134069,movie,Hoboken Hollow,Hoboken Hollow,2006.0,98.0,Horror,3.7,1239
134077,movie,Nightmare,Nightmare,2005.0,111.0,"Horror,Thriller",5.2,305
134084,movie,Raving Maniacs,Raving Maniacs,2005.0,80.0,Horror,3.8,241
134088,movie,The Shrieking,The Shrieking,2008.0,,Horror,6.9,38
134100,movie,In the Dark,In the Dark,2004.0,100.0,Horror,3.1,134
134146,movie,Night of the Occultist,Night of the Occultist,1973.0,51.0,"Adult,Horror",6.2,9
134154,movie,Reincarnation,Rinne,2005.0,96.0,"Horror,Mystery",6.1,6494
134157,movie,Killing Bee,Satsujinbachi - kirâ bî,2005.0,85.0,Horror,3.4,53
134166,movie,Ubume no natsu,Ubume no natsu,2005.0,123.0,Horror,5.5,94
134169,movie,The Ghost Lovers,Yan nu huan hun,1974.0,92.0,"Drama,Horror,Romance",5.4,89
134212,movie,The Last Night,The Last Night,1983.0,50.0,Horror,4.8,52
134224,movie,Sal de Prata,Sal de Prata,2005.0,97.0,"Drama,Horror,Romance",5.7,135
134225,movie,Satan War,Satan War,1979.0,76.0,Horror,3.4,79
134236,movie,Wu zhai,Wu zhai,1994.0,92.0,Horror,6.0,19
134240,movie,Altered,Altered,2006.0,88.0,"Horror,Sci-Fi,Thriller",5.6,10482
134253,movie,Dead Heist,Dead Heist,2007.0,80.0,"Action,Crime,Horror",3.8,1030
134308,movie,Fido,Fido,2006.0,93.0,"Comedy,Drama,Horror",6.7,29272
134337,movie,"Diana, Eva: Two Strange Women",Duas Estranhas Mulheres,1981.0,88.0,"Drama,Horror,Mystery",6.3,37
134398,movie,Simon Says,Simon Says,2006.0,87.0,"Horror,Thriller",4.2,3564
134413,movie,Riddlebox,Caja de acertijos,2004.0,,Horror,4.5,18
134418,movie,Scream the Night,Grité una noche,2005.0,98.0,Horror,5.2,77
134420,movie,El hombre bestia,El hombre bestia,1934.0,50.0,Horror,3.6,27
134427,movie,Run Run Bunny!,Run Run Bunny!,2003.0,80.0,Horror,6.1,25
134430,movie,TL-1 Mi reino por un platillo volador,TL-1 Mi reino por un platillo volador,2004.0,111.0,"Biography,Comedy,Horror",6.7,55
134437,movie,Castle Sinister,Castle Sinister,1948.0,49.0,"Horror,Thriller",3.6,171
134457,movie,The Counting House,The Counting House,2007.0,90.0,"Horror,Mystery,Thriller",5.5,71
134468,movie,Ikisudama,Ikisudama,2001.0,117.0,"Drama,Horror,Mystery",5.3,149
134553,movie,Six,Six,2004.0,94.0,Horror,5.6,76
134575,movie,In a Dark Place,In a Dark Place,2006.0,95.0,"Horror,Thriller",4.3,2641
134586,movie,KM 31: Kilometre 31,KM 31: Kilómetro 31,2006.0,105.0,"Horror,Mystery,Thriller",5.3,3359
134600,movie,Safety in Numbers,Safety in Numbers,2006.0,90.0,Horror,3.2,203
134603,movie,Space Zombies: 13 Months of Brain-Spinning Mayhem!,Space Zombies: 13 Months of Brain-Spinning Mayhem!,2004.0,78.0,"Comedy,Horror,Sci-Fi",5.8,22
134607,movie,Within,Within,2005.0,93.0,"Horror,Mystery,Thriller",5.0,96
134611,movie,'Chô' kowai hanashi the movie: yami no eigasai,'Chô' kowai hanashi the movie: yami no eigasai,2005.0,,Horror,5.3,20
134624,movie,The Coffin,The Coffin,2008.0,86.0,"Horror,Thriller",4.1,660
134626,movie,Cutting Room,Cutting Room,2006.0,83.0,"Comedy,Horror,Mystery",5.0,283
134630,movie,Driftwood,Driftwood,2006.0,90.0,"Horror,Mystery,Thriller",4.7,847
134640,movie,Frankenstein Reborn,Frankenstein Reborn,2005.0,84.0,"Horror,Sci-Fi,Thriller",3.1,805
134642,movie,Ghost Son,Ghost Son,2007.0,97.0,"Drama,Horror,Mystery",4.4,814
134654,movie,The Lonely Ones,The Lonely Ones,2006.0,97.0,Horror,4.2,625
134661,movie,Domain of the Damned,Domain of the Damned,2007.0,,Horror,3.8,86
134662,movie,Night Skies,Night Skies,2007.0,85.0,"Horror,Sci-Fi,Thriller",4.5,2955
134667,movie,Pervert!,Pervert!,2005.0,81.0,"Comedy,Horror",4.5,2446
134672,movie,Prisoner,Prisoner,2007.0,95.0,"Horror,Thriller",4.7,529
134675,movie,Scab,Scab,2005.0,101.0,"Horror,Thriller",3.9,112
134676,movie,The Ritual,The Ritual,2009.0,114.0,"Drama,Horror",3.8,125
134747,movie,Skinwalkers,Skinwalkers,2006.0,110.0,"Action,Fantasy,Horror",4.5,13431
134751,movie,Di ambang misteri,Di ambang misteri,2004.0,95.0,"Horror,Mystery,Thriller",6.7,10
134755,movie,Guwapings: The First Adventure,Guwapings: The First Adventure,1992.0,99.0,"Adventure,Comedy,Horror",6.2,32
134810,movie,Dead Tone,7eventy 5ive,2007.0,100.0,"Horror,Thriller",4.5,2987
134812,movie,After...,After...,2006.0,80.0,"Horror,Thriller",3.0,819
134819,movie,The Beast of Bray Road,The Beast of Bray Road,2005.0,80.0,Horror,4.1,1341
134831,movie,Cold Storage,Cold Storage,2009.0,96.0,"Drama,Horror,Thriller",4.7,392
134837,movie,Automatons,Automatons,2006.0,83.0,"Horror,Sci-Fi",4.5,233
134845,movie,Fade,Fade,2007.0,74.0,"Drama,Horror",6.5,35
134849,movie,The Unknown Trilogy,The Unknown Trilogy,2007.0,90.0,"Drama,Horror,Sci-Fi",3.2,382
134851,movie,VooDoo Curse: The Giddeh,VooDoo Curse: The Giddeh,2006.0,79.0,Horror,2.5,145
134857,movie,Grindhouse,Grindhouse,2007.0,191.0,"Action,Horror,Thriller",7.5,184396
134859,movie,The Guardian,The Guardian,2006.0,90.0,Horror,4.2,26
134866,movie,Hoodoo for Voodoo,Hoodoo for Voodoo,2006.0,79.0,Horror,5.1,96
134870,movie,Incubus,Incubus,2006.0,87.0,"Horror,Mystery,Thriller",3.0,2128
134873,movie,The Insatiable,The Insatiable,2006.0,103.0,"Comedy,Horror,Romance",5.2,1574
134899,movie,Penny Dreadful,Penny Dreadful,2005.0,91.0,"Horror,Thriller",5.8,567
134903,movie,Poultrygeist: Night of the Chicken Dead,Poultrygeist: Night of the Chicken Dead,2006.0,103.0,"Comedy,Horror,Musical",6.0,8537
134913,movie,Satan Hates You,Satan Hates You,2010.0,94.0,Horror,4.1,236
134914,movie,Haunted Forest,Haunted Forest,2007.0,81.0,Horror,3.5,1448
134919,movie,South of Hell,South of Hell,2005.0,92.0,Horror,6.6,57
134930,movie,Urchin,Urchin,2007.0,105.0,"Fantasy,Horror,Mystery",3.1,208
134953,movie,Antarctic Journal,Namgeuk-ilgi,2005.0,115.0,"Horror,Mystery,Thriller",5.9,1966
134978,movie,The Beautiful Beast,La belle bête,2006.0,110.0,"Drama,Horror,Thriller",5.6,500
134994,movie,Zombie Nation,Zombie Nation,2004.0,81.0,Horror,1.5,8110
135002,movie,Jake's Closet,Jake's Closet,2007.0,93.0,"Drama,Horror,Thriller",5.3,382
135012,movie,28 Weeks Later,28 Weeks Later,2007.0,100.0,"Action,Adventure,Horror",6.9,274750
135020,movie,Candy Stripers,Candy Stripers,2006.0,89.0,"Horror,Sci-Fi",3.3,1410
135048,movie,House at the End of the Drive,House at the End of the Drive,2014.0,97.0,"Horror,Thriller",6.8,391
135051,movie,Isolated,Isolated,2006.0,,"Horror,Thriller",5.5,96
135064,movie,The Orphanage,El orfanato,2007.0,105.0,"Drama,Horror,Mystery",7.4,155201
135065,movie,Piranha 3D,Piranha 3D,2010.0,88.0,"Comedy,Horror",5.5,90936
135071,movie,Severance,Severance,2006.0,96.0,"Comedy,Horror",6.4,38978
135072,movie,Southern Gothic,Southern Gothic,2005.0,,Horror,7.0,25
135118,movie,Ghostwood,Ghostwood,2008.0,85.0,"Horror,Thriller",4.1,197
135125,movie,Beneath the Cogon,Sa ilalim ng cogon,2005.0,83.0,"Horror,Mystery,Romance",6.1,26
135138,movie,Them,Ils,2006.0,77.0,"Horror,Thriller",6.4,30701
135148,movie,The Cottage,The Cottage,2008.0,92.0,"Comedy,Crime,Horror",6.1,12525
135149,movie,Dark Places,Dark Places,2005.0,77.0,"Drama,Horror",3.1,218
135155,movie,Hallowed,Hallowed,2005.0,80.0,Horror,3.1,219
135160,movie,Doomed to Consume,Doomed to Consume,2006.0,78.0,"Action,Horror",4.4,91
135163,movie,Zombies Anonymous,Last Rites of the Dead,2006.0,118.0,"Comedy,Horror",4.6,715
135164,movie,Last Stand,Last Stand,2005.0,92.0,Horror,5.4,16
135178,movie,Stagknight,Stagknight,2007.0,79.0,"Comedy,Horror",3.2,311
135192,movie,Wilderness,Wilderness,2006.0,93.0,"Action,Horror",6.1,9907
135312,movie,The Darkroom,The Darkroom,2006.0,83.0,"Horror,Mystery,Thriller",5.5,982
135313,movie,Drive Thru,Drive Thru,2007.0,83.0,"Comedy,Horror",4.4,4436
135342,movie,The Omen,The Omen,2006.0,110.0,"Drama,Fantasy,Horror",5.5,59338
135350,movie,Sacred Evil,Sacred Evil,2006.0,109.0,"Drama,Horror",5.9,32
135352,movie,The Shadow Walkers,The Shadow Walkers,2006.0,91.0,Horror,2.7,320
135361,movie,Valentina,Valentina,1989.0,,"Action,Horror",8.2,50
135368,movie,Beneath,Beneath,2007.0,82.0,"Horror,Mystery,Thriller",5.3,4296
135389,movie,Shaolin vs. Evil Dead,Shao Lin jiang shi,2004.0,94.0,"Action,Comedy,Horror",4.1,374
135392,movie,The Heirloom,Zhai bian,2005.0,97.0,"Drama,Horror",5.1,800
135404,movie,Hell,Narok,2005.0,,"Adventure,Fantasy,Horror",4.1,397
135406,movie,Dead Waves,Shiryôha,2005.0,77.0,Horror,4.4,159
135423,movie,Huwag kang hahalik sa diablo,Huwag kang hahalik sa diablo,1989.0,,"Drama,Horror",4.9,17
135451,movie,Crippled Creek,Crippled Creek,2005.0,89.0,Horror,2.6,119
135452,movie,Death Plots,Death Plots,2005.0,97.0,"Comedy,Horror",4.0,101
135458,movie,The Host,Gwoemul,2006.0,120.0,"Action,Drama,Horror",7.1,120724
135469,movie,Pipeline,Pipeline,2007.0,,"Drama,Horror",7.0,91
135470,movie,Prey,Prey,2007.0,92.0,"Adventure,Drama,Horror",4.7,8183
135492,movie,The Red Shoes,Bunhongsin,2005.0,103.0,"Horror,Mystery,Thriller",5.7,3020
135511,movie,Tales of Terror from Tokyo and All Over Japan: The Movie,Kaidan Shin Mimibukuro: Gekijô-ban,2004.0,92.0,Horror,5.7,394
135519,movie,Noriko's Dinner Table,Noriko no shokutaku,2005.0,159.0,"Drama,Horror",7.1,4617
135526,movie,Legend of Siren: Erotic Ghost,Shin yôjo densetsu: seirên,2004.0,76.0,Horror,4.1,214
135550,movie,Danika,Danika,2005.0,80.0,"Drama,Horror,Mystery",5.5,3739
135564,movie,Mil Mascaras vs. the Aztec Mummy,Mil Mascaras vs. the Aztec Mummy,2007.0,90.0,"Horror,Sci-Fi",7.0,112
135573,movie,Sunset in the Valley,Sunset in the Valley,2006.0,,"Horror,Romance,Thriller",3.1,13
135584,movie,Anak ng kadiliman,Anak ng kadiliman,1937.0,,"Drama,Horror",5.2,11
135616,movie,Automaton Transfusion,Automaton Transfusion,2006.0,75.0,Horror,3.7,2372
135617,movie,Bloody Mary,Bloody Mary,2006.0,93.0,"Horror,Thriller",3.4,1417
135661,movie,Summer School,Summer School,2006.0,89.0,"Adventure,Drama,Horror",4.5,323
135663,movie,Wicked Little Things,Wicked Little Things,2006.0,94.0,"Drama,Fantasy,Horror",5.0,8399
135668,movie,Open Water 2: Adrift,Open Water 2: Adrift,2006.0,95.0,"Adventure,Drama,Horror",5.2,18882
135673,movie,Love Song for Rapper,Rappabojou,2003.0,93.0,"Comedy,Drama,Horror",5.8,43
135683,movie,Necromancer,Jom kha mung wej,2005.0,118.0,"Crime,Fantasy,Horror",5.5,313
135684,movie,Werewolf Warrior,Kibakichi: Bakko-yokaiden,2004.0,95.0,"Action,Fantasy,Horror",5.1,492
135704,movie,Hua pi,Hua pi,1966.0,94.0,"Drama,Horror",6.6,56
135719,movie,The Last Supper,Saigo no bansan,2005.0,92.0,"Drama,Horror,Mystery",5.9,326
135731,movie,The Locker 2,Shibuya kaidan 2,2004.0,71.0,"Horror,Thriller",5.0,295
135749,movie,The Dead Don't Talk,Ölüler konusmaz ki,1970.0,76.0,"Horror,Thriller",4.1,122
135759,movie,Bug,Bug,2006.0,102.0,"Drama,Horror,Thriller",6.1,35270
135777,movie,First Born,First Born,2007.0,95.0,"Drama,Horror,Mystery",4.7,3364
135828,movie,Voice,Yeogo goedam 4: Moksori,2005.0,104.0,Horror,6.3,1637
135835,movie,Crazy Eights,Crazy Eights,2006.0,80.0,Horror,3.8,3258
135842,movie,Knock Knock,Knock Knock,2007.0,92.0,Horror,3.1,839
135843,movie,Looking for Prince Charming,Looking for Prince Charming,2006.0,80.0,"Horror,Thriller",5.8,18
135846,movie,Sea of Dust,Sea of Dust,2008.0,90.0,"Comedy,Fantasy,Horror",3.2,173
135862,movie,Kamen Rider: The First,Kamen Raidâ: The First,2005.0,91.0,"Action,Drama,Horror",6.3,285
135879,movie,The Naked and the Living Dead,Shin kaidan zangyaku hidô: onna keiji to ratai kaibôki,2003.0,,Horror,2.7,22
135902,movie,"God's Left Hand, Devil's Right Hand",Kami no hidarite akuma no migite,2006.0,94.0,"Fantasy,Horror,Thriller",5.2,145
135922,movie,"Ti spacco il muso, bimba!","Ti spacco il muso, bimba!",1982.0,94.0,"Comedy,Horror",4.3,12
135926,movie,Zee-Oui,Zee-Oui,2004.0,86.0,"Drama,Horror,Thriller",5.8,251
135928,movie,All Is Normal,All Is Normal,2008.0,,"Drama,Horror,Thriller",8.0,60
135934,movie,Comatose,Comatose,2005.0,90.0,"Horror,Thriller",2.6,35
135936,movie,Don't Wake the Dead,Don't Wake the Dead,2008.0,78.0,Horror,2.9,247
135959,movie,The Strange Case of Dr. Jekyll and Mr. Hyde,The Strange Case of Dr. Jekyll and Mr. Hyde,2006.0,89.0,"Horror,Sci-Fi",3.7,394
135964,movie,Venus Drowning,Venus Drowning,2006.0,75.0,Horror,5.7,105
135982,movie,Dumplings,Gau ji,2004.0,91.0,"Drama,Horror",6.7,9438
135984,movie,An Unmarried Zombie,Infection,2005.0,81.0,"Horror,Thriller",4.1,1355
136006,movie,The Torturer,The Torturer,2005.0,100.0,Horror,3.9,343
136015,movie,In Blood,In Blood,2002.0,79.0,Horror,6.7,17
136046,movie,Happy End: Every Story Needs an End,Happy End.,2005.0,102.0,"Drama,Horror,Mystery",6.2,168
136048,movie,Manhater,Manhater,2005.0,93.0,Horror,5.9,27
136072,movie,Solstice,Solstice,2007.0,91.0,"Horror,Mystery",5.3,6360
136077,movie,The Ancient,The Ancient,2005.0,,Horror,4.6,47
136078,movie,The Backwoods,Bosque de sombras,2006.0,97.0,"Drama,Horror,Thriller",5.7,5609
136082,movie,Dead Men Walking,Dead Men Walking,2005.0,82.0,"Action,Horror,Sci-Fi",4.0,1346
136095,movie,Shapeshifter,Shapeshifter,2005.0,81.0,Horror,2.5,767
136098,movie,They Feed,They Feed,2005.0,83.0,Horror,4.9,41
136120,movie,Mulberry St,Mulberry St,2006.0,84.0,"Horror,Sci-Fi,Thriller",5.5,6196
136127,movie,Without Mercy,Without Mercy,2005.0,113.0,Horror,7.7,48
136134,movie,La dernière incarnation,La dernière incarnation,2005.0,92.0,"Comedy,Horror,Sci-Fi",4.1,49
136135,movie,Flirt,Flert,2005.0,,"Comedy,Horror,Romance",5.3,72
136145,movie,Saint Martyrs of the Damned,Saints-Martyrs-des-Damnés,2005.0,115.0,"Drama,Horror,Mystery",6.2,710
136157,movie,Zombie Night 2: Awakening,Awakening,2006.0,90.0,Horror,2.3,269
136180,movie,Anak ng demonyo,Anak ng demonyo,1989.0,103.0,"Drama,Fantasy,Horror",5.7,20
136203,movie,The Maid,The Maid,2005.0,93.0,"Drama,Horror,Mystery",5.7,1250
136215,movie,Tomie: Beginning,Tomie: Beginning,2005.0,74.0,Horror,4.8,393
136216,movie,Tomie: Revenge,Tomie: Revenge,2005.0,72.0,Horror,3.9,262
136238,movie,The Locker,Shibuya kaidan,2004.0,71.0,"Horror,Thriller",5.1,542
136241,movie,The Mystery of Old Parish House,Vecas pagastmajas misterija,2000.0,105.0,"Drama,Horror,Mystery",5.8,122
136253,movie,Darkest Hour,Darkest Hour,2005.0,96.0,"Horror,Mystery",4.3,97
136269,movie,Get Pony Boy,Get Pony Boy,2007.0,,"Comedy,Horror,Mystery",4.7,115
136271,movie,Hack!,Hack!,2007.0,89.0,"Comedy,Horror",4.1,2246
136273,movie,Hood of Horror,Hood of Horror,2006.0,84.0,"Comedy,Horror",4.0,2995
136278,movie,The Lodge,The Lodge,2008.0,83.0,"Horror,Thriller",3.8,1354
136284,movie,Mortuary,Mortuary,2005.0,78.0,Horror,3.5,132
136285,movie,"Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3","Night of the Day of the Dawn of the Son of the Bride of the Return of the Revenge of the Terror of the Attack of the Evil, Mutant, Hellbound, Flesh-Eating Subhumanoid Zombified Living Dead, Part 3",2005.0,80.0,"Comedy,Horror",4.5,203
136298,movie,The Stalking Hand,The Stalking Hand,2005.0,90.0,Horror,4.4,11
136301,movie,Unearthed,Unearthed,2007.0,93.0,"Horror,Mystery,Sci-Fi",4.0,3767
136306,movie,Cello,Chello hongmijoo ilga salinsagan,2005.0,94.0,"Horror,Mystery",5.9,2675
136314,movie,Scary Hair,Gabal,2005.0,106.0,"Drama,Horror",5.4,1285
136340,movie,The Abandoned,The Abandoned,2006.0,99.0,"Horror,Mystery,Thriller",5.5,12957
136346,movie,Creature of Darkness,Creature of Darkness,2009.0,81.0,"Horror,Sci-Fi",2.5,791
136351,movie,Nailed,Nailed,2006.0,90.0,"Crime,Horror,Thriller",4.2,509
136369,movie,El Huésped,El Huésped,2003.0,74.0,"Drama,Horror,Sci-Fi",4.6,39
136390,movie,Purple Glow,Purple Glow,2005.0,78.0,"Horror,Sci-Fi",4.0,36
136396,movie,The Entrance,The Entrance,2006.0,81.0,"Horror,Thriller",4.3,507
136411,movie,Darna Zaroori Hai,Darna Zaroori Hai,2006.0,108.0,Horror,5.4,2166
136448,movie,Amusement,Amusement,2008.0,85.0,"Crime,Horror,Mystery",4.9,11768
136449,movie,Blue Lake Butcher,Blue Lake Massacre,2007.0,97.0,Horror,3.8,76
136457,movie,Dark Side of the Light,Dark Side of the Light,2005.0,90.0,Horror,4.4,23
136458,movie,Aberration,AfterThought,2007.0,85.0,"Horror,Thriller",2.7,316
136507,movie,Dead Daughters,Myortvye docheri,2007.0,123.0,"Drama,Horror",4.0,784
136516,movie,White Panic,Fu-Rai,2005.0,75.0,"Horror,Thriller",5.1,116
136575,movie,Castle of De Sade,O Castelo das Taras,1982.0,90.0,Horror,5.9,32
136613,movie,Cthulhu,Cthulhu,2007.0,100.0,"Drama,Horror,Thriller",4.5,2120
136614,movie,Dark Reality,Dark Reality,2006.0,90.0,"Horror,Thriller",2.8,143
136616,movie,Satanic,Satanic,2006.0,88.0,Horror,3.0,933
136617,movie,Desert of Blood,Desert of Blood,2008.0,89.0,Horror,3.4,348
136624,movie,The Butcher,The Butcher,2006.0,90.0,"Horror,Thriller",3.5,1583
136633,movie,The Men Who Fell,The Men Who Fell,2007.0,85.0,"Horror,Sci-Fi",3.6,229
136637,movie,Nightmare Man,Nightmare Man,2006.0,89.0,"Comedy,Horror,Thriller",4.0,2390
136648,movie,Small Town Folk,Small Town Folk,2007.0,88.0,"Comedy,Fantasy,Horror",3.3,1103
136650,movie,Snakewoman,Snakewoman,2005.0,98.0,Horror,3.4,332
136656,movie,Trapped Ashes,Trapped Ashes,2006.0,105.0,Horror,4.7,1730
136658,movie,Triloquist,Triloquist,2008.0,80.0,"Comedy,Horror",3.9,915
136662,movie,Voodoo Lagoon,Voodoo Lagoon,2006.0,79.0,Horror,2.8,173
136680,movie,The Substitute,Vikaren,2007.0,93.0,"Comedy,Fantasy,Horror",5.9,3335
136683,movie,Hidden,Hidden,2005.0,93.0,"Adventure,Horror,Thriller",4.0,115
136702,movie,Die Gespensterstunde,Die Gespensterstunde,1917.0,56.0,"Drama,Horror",5.5,19
136704,movie,El horror de la dama del lago,El horror de la dama del lago,2010.0,90.0,"Fantasy,Horror,Thriller",6.2,14
136730,movie,Desperate Souls,Desperate Souls,2005.0,84.0,"Action,Horror",2.2,288
136747,movie,Bad Reputation,Bad Reputation,2005.0,90.0,"Drama,Horror,Thriller",4.0,820
136750,movie,The Call of Cthulhu,The Call of Cthulhu,2005.0,47.0,"Horror,Mystery",7.1,8411
136755,movie,The Dead Inside,The Dead Inside,2005.0,81.0,Horror,6.5,21
136758,movie,Freak Show,Freak Show,2005.0,,Horror,5.8,23
136784,movie,Buried Alive,Buried Alive,2007.0,94.0,"Horror,Mystery,Thriller",3.9,2309
136785,movie,Perfect Life,Perfect Life,2010.0,98.0,"Horror,Thriller",4.0,463
136788,movie,The 8th Plague,The 8th Plague,2006.0,90.0,"Action,Horror",4.2,921
136838,movie,Rogue,Rogue,2007.0,99.0,"Action,Drama,Horror",6.2,30567
136863,movie,Gumnam Qatil,Gumnam Qatil,2001.0,,Horror,3.3,11
136868,movie,Kutob,Kutob,2005.0,110.0,"Horror,Thriller",5.9,29
136888,movie,Shake Rattle & Roll 2k5,Shake Rattle & Roll 2k5,2005.0,110.0,"Comedy,Horror",6.2,55
136894,movie,Junk,Zhest,2006.0,110.0,"Crime,Horror,Thriller",5.1,772
136906,movie,Cutting Room!,Cutting Room!,2005.0,75.0,Horror,3.9,137
136913,movie,Kammaren,Kammaren,2007.0,,"Drama,Horror",5.0,52
136921,movie,One Missed Call,One Missed Call,2008.0,87.0,"Horror,Mystery",4.0,32400
136932,movie,Closure,Straightheads,2007.0,80.0,"Crime,Drama,Horror",5.5,7089
136972,movie,Canes,Canes,2006.0,90.0,"Horror,Thriller",3.5,586
136991,movie,Timecrimes,Los cronocrímenes,2007.0,92.0,"Horror,Mystery,Sci-Fi",7.1,63793
137001,movie,Seven Nights,Qi ye,2005.0,100.0,Horror,4.5,32
137008,movie,Die Zombiejäger,Die Zombiejäger,2005.0,85.0,Horror,2.6,332
137026,movie,El sombrerón,El sombrerón,1950.0,103.0,Horror,5.2,20
137030,movie,Agninakshathram,Agninakshathram,2004.0,136.0,"Action,Horror,Thriller",3.2,69
137053,movie,Live Feed,Live Feed,2006.0,77.0,Horror,3.4,1602
137075,movie,Upyr,Upyr,1997.0,72.0,"Action,Crime,Horror",6.5,374
137090,movie,Hollywood Kills,Hollywood Kills,2006.0,90.0,"Horror,Thriller",3.2,224
137092,movie,The House of Adam,The House of Adam,2006.0,83.0,"Crime,Drama,Horror",3.3,212
137103,movie,Pathogen,Pathogen,2006.0,68.0,Horror,5.3,220
137106,movie,Silent Scream,The Retreat,2005.0,90.0,Horror,3.0,959
137122,movie,Pyasa Shaitan,Pyasa Shaitan,1984.0,100.0,Horror,4.9,65
137123,movie,Decadence,Décadence,1999.0,79.0,Horror,3.3,59
137147,movie,La sombra de nadie,La sombra de nadie,2006.0,105.0,"Horror,Thriller",5.7,146
137148,movie,Aquarium,Aquarium,2004.0,67.0,"Horror,Thriller",5.1,85
