,type,primary_title,original_title,premiered,runtime_minutes,genres,rating,votes
1724,movie,One Exciting Night,One Exciting Night,1922.0,128.0,"Comedy,Horror,Mystery",5.4,152
1751,movie,Warning Shadows,Schatten - Eine nächtliche Halluzination,1923.0,90.0,"Drama,Fantasy,Horror",6.7,1015
1897,movie,The Last Moment,The Last Moment,1923.0,60.0,Horror,5.1,19
1975,movie,Der steinerne Reiter,Der steinerne Reiter,1923.0,86.0,"Drama,Fantasy,Horror",6.7,88
1996,movie,Waxworks,Das Wachsfigurenkabinett,1924.0,107.0,"Fantasy,Horror",6.6,2084
1999,movie,While Paris Sleeps,While Paris Sleeps,1923.0,60.0,Horror,7.0,42
2054,movie,Dante's Inferno,Dante's Inferno,1924.0,60.0,"Drama,Horror,Romance",5.6,168
2152,movie,The Hands of Orlac,Orlacs Hände,1924.0,92.0,"Crime,Horror,Mystery",7.0,2946
2308,movie,The case of the murder of Tariel Mklavadze,Tariel mklavadzis mkvlelobis saqme,1925.0,70.0,"Crime,Drama,Horror",5.4,24
2405,movie,The Monster,The Monster,1925.0,86.0,"Comedy,Horror,Mystery",6.2,1182
2432,movie,The Phantom of the Opera,The Phantom of the Opera,1925.0,93.0,Horror,7.5,18380
2528,movie,Wolfblood,Wolfblood,1925.0,68.0,"Adventure,Drama,Horror",5.5,307
2559,movie,The Bells,The Bells,1926.0,68.0,"Crime,Drama,Horror",6.4,441
2636,movie,Faust,Faust: Eine deutsche Volkssage,1926.0,107.0,"Drama,Fantasy,Horror",8.1,15249
2705,movie,A Page of Madness,Kurutta ippêji,1926.0,70.0,"Drama,Horror,Thriller",7.4,3572
2706,movie,The Passion of a Woman Teacher,Kyôren no onna shishô,1926.0,53.0,"Drama,Horror,Romance",6.7,25
2729,movie,The Magician,The Magician,1926.0,83.0,"Drama,Fantasy,Horror",6.7,750
2743,movie,The Bear's Wedding,Medvezhya svadba,1925.0,68.0,"Drama,Horror",6.3,49
2747,movie,Midnight Faces,Midnight Faces,1926.0,55.0,"Horror,Thriller",5.5,124
2844,movie,The Student of Prague,Der Student von Prag,1926.0,110.0,"Drama,Horror",6.9,697
2905,movie,A Daughter of Destiny,Alraune,1928.0,108.0,"Drama,Fantasy,Horror",6.2,368
2941,movie,The Cat and the Canary,The Cat and the Canary,1927.0,108.0,"Comedy,Horror,Mystery",7.1,3009
3024,movie,The Gorilla,The Gorilla,1927.0,80.0,"Horror,Thriller",7.5,33
3070,movie,London After Midnight,London After Midnight,1927.0,69.0,Horror,6.7,1358
3219,movie,The Unknown,The Unknown,1927.0,63.0,"Drama,Horror,Romance",7.8,8050
3236,movie,The Wizard,The Wizard,1927.0,60.0,"Horror,Mystery,Sci-Fi",7.1,117
3265,movie,The Ape,The Ape,1928.0,50.0,"Horror,Mystery",4.5,46
3298,movie,Cagliostro - Liebe und Leben eines großen Abenteurers,Cagliostro - Liebe und Leben eines großen Abenteurers,1929.0,58.0,"Horror,Thriller",6.5,130
3311,movie,The Fall of the House of Usher,La chute de la maison Usher,1928.0,63.0,"Drama,Fantasy,Horror",7.3,4015
3433,movie,The Man Who Laughs,The Man Who Laughs,1928.0,110.0,"Drama,Horror,Mystery",7.7,6974
3552,movie,The Terror,The Terror,1928.0,85.0,"Horror,Mystery,Thriller",7.6,54
3790,movie,The Hound of the Baskervilles,Der Hund von Baskerville,1929.0,65.0,"Crime,Horror,Mystery",6.6,201
3820,movie,The Last Performance,The Last Performance,1929.0,68.0,"Drama,Horror,Romance",6.7,405
3822,movie,The Last Warning,The Last Warning,1928.0,89.0,"Horror,Mystery,Thriller",6.9,649
3965,movie,The Somnambulist,Somnambul,1929.0,,Horror,4.4,18
4080,movie,The Bat Whispers,The Bat Whispers,1930.0,83.0,"Crime,Drama,Horror",6.3,1020
4126,movie,The Cat Creeps,The Cat Creeps,1930.0,75.0,"Horror,Mystery",6.8,81
4618,movie,The Bells,The Bells,1931.0,75.0,"Crime,Drama,Horror",5.7,25
4694,movie,Dracula,Dracula,1931.0,75.0,"Drama,Fantasy,Horror",7.4,51950
4695,movie,Drácula,Drácula,1931.0,104.0,"Drama,Fantasy,Horror",7.1,4595
4700,movie,The Drums of Jeopardy,The Drums of Jeopardy,1931.0,75.0,"Crime,Drama,Horror",5.6,300
4704,movie,East of Borneo,East of Borneo,1931.0,77.0,"Adventure,Horror,Romance",5.5,222
4740,movie,Frankenstein,Frankenstein,1931.0,70.0,"Drama,Horror,Sci-Fi",7.8,71843
4768,movie,The Gorilla,The Gorilla,1930.0,70.0,"Comedy,Horror,Mystery",5.1,45
4797,movie,The Hound of the Baskervilles,The Hound of the Baskervilles,1931.0,72.0,"Crime,Horror,Mystery",5.9,51
4823,movie,King of the Wild,King of the Wild,1931.0,248.0,"Action,Adventure,Horror",6.1,117
4868,movie,The Mad Genius,The Mad Genius,1931.0,81.0,"Drama,Horror,Romance",6.3,689
4911,movie,Murder by the Clock,Murder by the Clock,1931.0,76.0,"Crime,Horror,Mystery",6.1,332
4963,movie,The Phantom,The Phantom,1931.0,62.0,"Horror,Thriller",4.3,364
5080,movie,Svengali,Svengali,1931.0,81.0,"Drama,Horror,Romance",6.8,2062
5192,movie,Behind the Mask,Behind the Mask,1932.0,68.0,"Crime,Horror,Mystery",6.0,291
5244,movie,Condemned to Death,Condemned to Death,1932.0,75.0,"Crime,Drama,Horror",5.0,16
5275,movie,Doctor X,Doctor X,1932.0,76.0,"Comedy,Crime,Horror",6.4,3536
5279,movie,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,1931.0,98.0,"Horror,Sci-Fi",7.6,13883
5322,movie,Freaks,Freaks,1932.0,64.0,"Drama,Horror",7.9,46312
5331,movie,Secret of the Blue Room,Geheimnis des blauen Zimmers,1932.0,73.0,Horror,6.8,21
5419,movie,Kongo,Kongo,1932.0,86.0,"Drama,Horror",6.6,914
5478,movie,The Mask of Fu Manchu,The Mask of Fu Manchu,1932.0,68.0,"Adventure,Horror,Sci-Fi",6.3,3375
5502,movie,The Monkey's Paw,The Monkey's Paw,1933.0,58.0,Horror,7.0,101
5503,movie,The Monster Walks,The Monster Walks,1932.0,63.0,"Horror,Mystery",4.1,961
5504,movie,The Most Dangerous Game,The Most Dangerous Game,1932.0,63.0,"Action,Adventure,Horror",7.1,12423
5508,movie,The Mummy,The Mummy,1932.0,73.0,"Fantasy,Horror",7.0,26546
5509,movie,Murder at Dawn,Murder at Dawn,1932.0,62.0,"Crime,Drama,Horror",4.5,147
5510,movie,Murders in the Rue Morgue,Murders in the Rue Morgue,1932.0,61.0,"Crime,Horror,Mystery",6.3,4475
5688,movie,Thark,Thark,1932.0,79.0,"Comedy,Horror",5.2,16
5694,movie,Thirteen Women,Thirteen Women,1932.0,73.0,"Drama,Horror,Mystery",6.2,1419
5721,movie,The Living Dead,Unheimliche Geschichten,1932.0,89.0,"Comedy,Horror,Sci-Fi",6.5,121
5726,movie,Vampyr,Vampyr,1932.0,75.0,"Fantasy,Horror",7.4,18234
5754,movie,White Zombie,White Zombie,1932.0,69.0,Horror,6.3,10564
5836,movie,Il caso Haller,Il caso Haller,1933.0,77.0,"Horror,Mystery,Thriller",7.3,13
5960,movie,The Ghoul,The Ghoul,1933.0,77.0,"Action,Drama,Horror",5.8,2861
6033,movie,The Invisible Man,The Invisible Man,1933.0,71.0,"Horror,Sci-Fi",7.6,34860
6035,movie,Island of Lost Souls,Island of Lost Souls,1932.0,70.0,"Horror,Sci-Fi",7.4,9513
6054,movie,King Kong,King Kong,1933.0,100.0,"Adventure,Horror,Sci-Fi",7.9,85222
6084,movie,The Crying Woman,La llorona,1933.0,73.0,"Horror,Mystery",5.8,224
6135,movie,Murders in the Zoo,Murders in the Zoo,1933.0,62.0,"Crime,Horror",6.5,1360
6142,movie,Mystery of the Wax Museum,Mystery of the Wax Museum,1933.0,77.0,"Horror,Mystery,Thriller",6.8,5782
6149,movie,Night of Terror,Night of Terror,1933.0,65.0,"Horror,Mystery,Thriller",5.5,654
6227,movie,Secret of the Blue Room,Secret of the Blue Room,1933.0,66.0,"Crime,Drama,Horror",6.4,873
6255,movie,Son of Kong,The Son of Kong,1933.0,70.0,"Adventure,Family,Horror",5.6,4720
6277,movie,Supernatural,Supernatural,1933.0,65.0,"Horror,Mystery,Thriller",6.2,735
6325,movie,The Vampire Bat,The Vampire Bat,1933.0,65.0,"Drama,Horror,Mystery",5.7,2601
6416,movie,The Black Cat,The Black Cat,1934.0,65.0,"Adventure,Crime,Horror",6.9,11301
6417,movie,Black Moon,Black Moon,1934.0,68.0,"Drama,Horror",6.0,651
6512,movie,Two Monks,Dos monjes,1934.0,79.0,"Drama,Horror,Mystery",7.0,514
6513,movie,Double Door,Double Door,1934.0,75.0,"Drama,Horror,Mystery",6.8,238
6536,movie,The Phantom of the Convent,El fantasma del convento,1934.0,85.0,"Adventure,Drama,Horror",6.9,309
6706,movie,Life Returns,Life Returns,1935.0,63.0,"Drama,Horror,Sci-Fi",3.9,228
6749,movie,Maniac,Maniac,1934.0,51.0,"Horror,Sci-Fi",3.7,2483
6812,movie,The 9th Guest,The Ninth Guest,1934.0,65.0,"Drama,Horror,Mystery",6.8,571
7117,movie,The Black Room,The Black Room,1935.0,68.0,Horror,6.9,2005
7130,movie,The Bride of Frankenstein,Bride of Frankenstein,1935.0,75.0,"Drama,Horror,Sci-Fi",7.8,47924
7171,movie,"Chloe, Love Is Calling You","Chloe, Love Is Calling You",1934.0,62.0,Horror,3.5,294
7180,movie,Condemned to Live,Condemned to Live,1935.0,67.0,"Drama,Horror,Mystery",4.8,508
7299,movie,The Ghost Goes West,The Ghost Goes West,1935.0,95.0,"Comedy,Fantasy,Horror",6.8,1901
7466,movie,Mad Love,Mad Love,1935.0,68.0,"Horror,Romance,Sci-Fi",7.2,5283
7480,movie,Mark of the Vampire,Mark of the Vampire,1935.0,60.0,"Horror,Mystery",6.2,4903
